;;TABLA;FEC_TRAS;FEC_FIN;HAS;BASICO;RENDIMIENTO;VARIEDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;206;27/06/2005;15/09/2005;4,16;BROCOLI;7,046;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;D O R S O;;;;;;;G U S A N O;;;;;;;;;C H I N C H E;;;;;;B E N E F I C O S;;;;;;;;;;;;;;;
DIA;LAPSO;FECHA_MUESTRA;N_PLANTAS;DORSO;HUEVESILLO;CHICO;MEDIANO;GRANDE;PUPA NO PARASITADO;PROMEDIO;GUSANO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;PULGON;PROMEDIO PULGON;CHINCHE;HUEVESILLO;ADULTO;PROMEDIO;DIABROTICA;PROMEDIO DIABROTICA;BENEFICOS;DORSO_PARASITADO;GUSANOS PARASITADOS;PULGON PARASITADO;CHRYSOPA;SYRFID;DIADEGMA;CATARINA;PIRATA;PROMEDIO BENEFICOS;PROMEDIO TOTAL;;;;;;
38;1;11-ago-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;0;11-ago-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;1;12-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;1;13-ago-05;DIADEGMA;5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;4;17-ago-05;DIADEGMA;4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;0;17-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;0;17-ago-05;TRICHOGRAMMA;38 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;0;17-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;1;18-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;1;19-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;4;23-ago-05;DIADEGMA;4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;0;23-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;1;24-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;0;24-ago-05;TRICHOGRAMMA;39 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;0;24-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;1;25-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;1;26-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;4;30-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;1;31-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;0;31-ago-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;0;31-ago-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;7;07-sep-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;1;08-sep-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;1;09-sep-05;TRICHOGRAMMA;29 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;0;09-sep-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;0;09-sep-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;1;10-sep-05;MOSCA TACHINIDE;60 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;4;14-sep-05;CHRYSOPA HUEVESILLO;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;6;20-sep-05;CHRYSOPA HUEVESILLO;4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;2;22-sep-05;TRICHOGRAMMA;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
